"Map1","Map2","Choice","MapVote","Date","FullPartial","Result","Eliminations","Deaths","Score","Damage","TotalXP","PrimaryWeapon","XPType","DidPlayerVote","GameType","Confirms","Denies","Objectives","ObjectiveKills","Captures","Diffuses","Plants","Time_Sec","Time_Min"
"Checkmate","Cartel","Cartel","1 to 0",2021-11-06,"Full","244-195",23,29,2700,2959,11619,"Pellington","10% Boost","No","Hardpoint",NA,NA,NA,9,NA,NA,NA,15,2
"Crossroads Strike","Checkmate","Crossroads Strike","1 to 0",2021-11-06,"Full","250-54",10,9,1900,1196,13210,"Pellington","10% Boost","No","Hardpoint",NA,NA,NA,6,NA,NA,NA,35,2
"Cartel","Slums","Slums","3 to 2",2021-11-06,"Full","218-250",31,33,4140,3898,21603,"Pellington","Double XP + 10%","No","Hardpoint",NA,NA,NA,15,NA,NA,NA,38,1
NA,NA,"Standoff",NA,2021-11-06,"Full","250-49",9,9,1460,1207,10382,"Groza","10% Boost","No","Hardpoint",NA,NA,NA,3,NA,NA,NA,45,0
"Apocalypse","Collateral Strike","Collateral Strike","2 to 1",2021-11-06,"Full","211-250",42,26,6885,5602,27327,"Groza","10% Boost","No","Hardpoint",NA,NA,NA,15,NA,NA,NA,35,1
"Moscow","Rush","Moscow","1 to 0",2021-11-06,"Full","250-75",25,14,2490,3139,18367,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,14,NA,NA,NA,9,2
"Raid","Hijacked","Raid","4 to 2",2021-11-06,"Full","250-189",33,23,3995,5235,26170,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,19,NA,NA,NA,32,2
NA,NA,"Rush",NA,2021-11-06,"Full","250-27",18,9,2845,2535,16030,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,12,NA,NA,NA,47,2
NA,NA,"Standoff",NA,2021-11-06,"Full","250-104",25,14,3755,3182,20183,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,14,NA,NA,NA,51,1
"Diesel","Satellite","Deisel","4 to 0",2021-11-06,"Full","250-183",26,30,2950,3834,21160,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,14,NA,NA,NA,25,2
NA,NA,"Yamantau",NA,2021-11-07,"Partial","235-250",18,31,2780,2734,8933,"Groza","10% Boost","No","Hardpoint",NA,NA,NA,11,NA,NA,NA,6,1
"Cartel","Slums","Slums","3 to 0",2021-11-07,"Full","250-179",26,30,2185,3464,19924,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,11,NA,NA,NA,31,1
"Zoo","Armada Strike","Zoo","3 to 0",2021-11-07,"Full","205-250",34,31,4460,4977,23212,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,26,NA,NA,NA,57,1
"Echelon","The Pines","The Pines","2 to 0",2021-11-07,"Full","232-250",37,32,4100,5435,32015,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,23,NA,NA,NA,9,2
"Slums","Express","Slums","1 to 1",2021-11-07,"Full","157-250",27,29,3440,3987,22417,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,19,NA,NA,NA,49,1
NA,NA,"Diesel",NA,2021-11-13,"Partial","250-27",17,11,1885,2089,7799,"Groza","10% Boost","No","Hardpoint",NA,NA,NA,9,NA,NA,NA,9,2
"Collateral Strike","Garrison","Garrison","2 to 0",2021-11-13,"Full","233-250",40,11,4535,5068,25634,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,26,NA,NA,NA,21,2
"Miami Strike","Crossroads Strike","Crossroads Strike","2 to 0",2021-11-13,"Full","142-250",25,32,2960,3934,14884,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,19,NA,NA,NA,59,0
"The Pines","Amerika","The Pines","2 to 2",2021-11-13,"Full","250-138",21,22,2675,2900,24775,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,23,2
"Collateral Strike","Standoff","Standoff","2 to 0",2021-11-13,"Full","237-250",28,26,3665,3747,14063,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,34,2
"Drive-in","Diesel","Diesel","3 to 2",2021-11-13,"Full","250-138",43,18,6040,5065,34422,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,29,NA,NA,NA,27,2
"Nuketown '84","Checkmate","Checkmate","3 to 1",2021-11-14,"Full","223-250",34,26,4490,4366,32108,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,7,2
"Rush","Moscow","Moscow","3 to 1",2021-11-14,"Full","250-206",34,17,3425,4307,28141,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,19,NA,NA,NA,47,2
"Armada Strike","Satellite","Satellite","4 to 0",2021-11-14,"Full","215-250",20,22,1995,2439,19902,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,10,NA,NA,NA,7,2
"Miami Strike","Zoo","Zoo","2 to 0",2021-11-14,"Full","228-250",54,26,6400,7232,30791,"Groza","Double XP + 10%","No","Hardpoint",NA,NA,NA,29,NA,NA,NA,31,1
NA,NA,NA,NA,2021-11-20,"Partial","127-250",15,17,2855,2012,13692,"AUG","10% Boost","No","Hardpoint",NA,NA,NA,9,NA,NA,NA,6,1
NA,NA,"Slums",NA,2021-11-20,"Full","64-250",13,22,1975,1567,8440,"AUG","10% Boost","No","Hardpoint",NA,NA,NA,8,NA,NA,NA,30,0
"Collateral Striek","Rush","Collateral Strike","2 to 1",2021-11-20,"Full","226-250",12,32,1730,1396,10690,"AUG","10% Boost","No","Hardpoint",NA,NA,NA,6,NA,NA,NA,38,2
"Hijacked","Diesel","Diesel","2 to 1",2021-11-20,"Full","204-250",22,29,2125,2980,25035,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,39,1
NA,NA,"Raid",NA,2021-11-25,"Partial","250-179",24,9,4310,2608,23817,"MG 82","Double XP + 10%","No","Hardpoint",NA,NA,NA,9,NA,NA,NA,30,1
"Express","The Pines","Express","2 to 0",2021-11-25,"Full","156-250",29,14,4270,3194,22746,"MG 82","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,7,1
"Moscow","Miami Strike","Moscow","3 to 2",2021-11-25,"Full","250-76",31,9,4260,4251,18824,"MG 82","Double XP + 10%","No","Hardpoint",NA,NA,NA,19,NA,NA,NA,34,2
"Apocalypse","Deprogram","Apocalypse","2 to 0",2021-11-25,"Full","250-187",28,29,2700,3464,23444,"MG 82","Double XP + 10%","No","Hardpoint",NA,NA,NA,16,NA,NA,NA,30,1
NA,NA,"Drive-in",NA,2021-11-25,"Partial","172-250",20,29,2695,2882,19416,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,10,NA,NA,NA,24,1
"Rush","The Pines","Rush","2 to 0",2021-11-25,"Full","250-77",18,13,4125,2104,19515,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,13,NA,NA,NA,5,2
"Hijacked","Amerika","Hijacked","3 to 3",2021-11-25,"Full","250-42",13,13,2285,1824,13492,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,9,NA,NA,NA,11,3
"Cartel","Garrison","Garrison","3 to 0",2021-11-25,"Full","250-155",11,19,2890,1959,20386,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,5,NA,NA,NA,46,3
"The Pines","Deprogram","The Pines","1 to 0",2021-11-25,"Full","103-250",16,21,2750,2565,15283,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,13,NA,NA,NA,38,0
"Drive-in","Standoff","Drive-in","2 to 0",2021-11-25,"Full","86-250",17,20,2540,2274,20932,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,10,NA,NA,NA,45,0
"Collateral Strike","Echelon","Collateral Strike","3 to 2",2021-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Hardpoint",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Yamantau",NA,2021-11-25,"Partial","250-89",20,9,3295,2610,21931,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,6,NA,NA,NA,36,1
"Cartel","Rush","Rush","5 to 4",2021-11-25,"Full","219-250",15,25,2320,2387,17611,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,13,NA,NA,NA,33,1
"Moscow","Rush","Moscow","3 to 0",2021-11-25,"Full","219-250",45,18,6305,6127,24783,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,31,NA,NA,NA,0,2
"Hijacked","Echelon","Hijacked","3 to 0",2021-11-25,"Full","250-218",28,25,2410,3872,27944,"AUG","Double XP + 10%","No","Hardpoint",NA,NA,NA,18,NA,NA,NA,16,2
NA,NA,"The Pines",NA,2021-11-26,"Full","250-208",19,27,2350,2534,26714,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,10,NA,NA,NA,38,1
"Zoo","Apocalypse","Zoo","2 to 0",2021-11-26,"Full","151-250",20,29,2040,2871,21154,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,10,NA,NA,NA,29,1
NA,NA,"Rush",NA,2021-11-26,"Full","250-124",40,20,4730,4498,26239,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,26,NA,NA,NA,21,2
"Deprogram","Miami Strike","Deprogram","2 to 2",2021-11-26,"Full","250-237",28,32,4450,4318,34938,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,16,NA,NA,NA,38,1
"Nuketown '84","Satellite","Nuketown '84","4 to 1",2021-11-26,"Full","105-250",35,28,4375,5021,22716,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,22,NA,NA,NA,38,0
"Collateral Strike","Yamantau","Collateral Strike","4 to 3",2021-11-26,"Full","250-229",60,30,8160,8227,45310,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,46,NA,NA,NA,38,2
"Cartel","Raid","Raid","2 to 0",2021-11-26,"Full","111-250",22,22,3290,3505,21439,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,13,NA,NA,NA,43,0
"Express","Drive-in","Express","2 to 1",2021-11-26,"Full","250-93",30,12,3670,3951,25079,"Milano 821","Double XP + 10%","No","Hardpoint",NA,NA,NA,21,NA,NA,NA,40,2
"Checkmate","Express","Checkmate","0 to 0",2021-12-03,"Full","94-250",14,23,1790,2441,14618,"MG 82","Double XP + 10%","No","Hardpoint",NA,NA,NA,8,NA,NA,NA,28,0
"Rush","Cartel","Rush","3 to 0",2021-12-03,"Full","250-76",16,16,2030,2384,13252,"Magnum","Double XP + 10%","No","Hardpoint",NA,NA,NA,8,NA,NA,NA,37,1
"Nuketown '84","Zoo","Nuketown '84","2 to 1",2021-12-03,"Full","250-102",20,20,2555,2447,17445,"Magnum","Double XP + 10%","No","Hardpoint",NA,NA,NA,11,NA,NA,NA,8,2
"Amerika","Satellite","Amerika","2 to 1",2021-12-03,"Full","250-216",29,29,3390,3456,23974,"Magnum","Double XP + 10%","No","Hardpoint",NA,NA,NA,14,NA,NA,NA,50,1
"Express","Miami Strike","Express","2 to 1",2021-12-03,"Full","250-185",31,20,3810,3082,30458,"MG 82","Double XP + 10%","No","Hardpoint",NA,NA,NA,17,NA,NA,NA,0,2
NA,NA,"Armada Strike",NA,2021-12-04,"Full","56-250",21,13,2145,2880,15585,"MG 82","Double XP + 10%","No","Hardpoint",NA,NA,NA,10,NA,NA,NA,21,0
NA,NA,"Hijacked",NA,2021-12-04,"Partial","81-100",10,10,1450,280,9415,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slums","Checkmate","Slums","4 to 0",2021-12-04,"Full","100-69",27,11,5215,729,22786,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Standoff","Deprogram","Standoff","2 to 2",2021-12-04,"Full","78-91",21,13,4615,568,18316,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Collateral Strike","Collateral Strike","3 to 0",2021-12-05,"Full","100-94",10,12,1455,272,17802,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoo","Rush","Zoo","2 to 1",2021-12-05,"Full","96-100",13,18,1585,405,15482,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Moscow","Raid","3 to 0",2021-12-05,"Full","100-88",15,11,3195,471,16645,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drive-in","Express","Express","3 to 1",2021-12-05,"Full","100-97",13,19,2005,395,9237,"MG 82","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","Echelon","Satellite","4 to 3",2021-12-05,"Full","100-94",19,10,4210,516,23452,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drive-in","Diesel","Drive-in","2 to 2",2021-12-05,"Full","100-92",22,15,3250,632,26407,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Crossroads Strike","Crossroads Strike","5 to 0",2021-12-05,"Full","100-85",15,14,3420,407,15218,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echelon","Cartel","Echelon","3 to 1",2021-12-05,"Full","100-54",20,10,5430,549,23150,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rush","Slums","Slums","3 to 2",2021-12-05,"Full","82-100",17,20,3485,475,18027,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hijacked","Nuketown '84","Nuketown '84","3 to 1",2021-12-05,"Full","85-100",11,18,2590,323,10935,"MG 82","Double XP + 10%","Yes","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoo","Armada Strike","Armada Strike","2 to 1",2021-12-05,"Full","98-98",22,19,4660,573,21297,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Collateral Strike","Collateral Strike","2 to 1",2021-12-11,"Full","189-250",22,25,3705,576,11699,"MG 82","10% Boost","No","HC - Hardpoint",NA,NA,NA,9,NA,NA,NA,57,1
"Deprogram","Cartel","Deprogram","2 to 2",2021-12-11,"Full","202-250",20,25,2560,524,16068,"MG 82","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,8,NA,NA,NA,35,1
"Yamantau","Miami Strike","Yamantau","0 to 0",2021-12-11,"Full","250-11",7,5,1875,182,13194,"MG 82","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,4,NA,NA,NA,8,2
NA,NA,"Amerika",NA,2021-12-11,"Full","250-202",15,24,2405,383,19936,"MG 82","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,1,NA,NA,NA,40,1
"Moscow","Drive-In","Moscow","1 to 0",2021-12-11,"Full","224-250",22,30,2520,567,19138,"MG 82","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,14,NA,NA,NA,4,1
"Crossroads Strike","Express","Express","2 to 1",2021-12-11,"Full","250-165",24,16,3810,673,25559,"MG 82","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,6,NA,NA,NA,4,1
"Raid","Diesel","Raid","2 to 1",2021-12-11,"Full","250-137",28,14,2940,719,22369,"MG 82","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,10,NA,NA,NA,9,2
"The Pines","Miami Strike","Miami Strike","3 to 2",2021-12-11,"Full",NA,NA,NA,NA,NA,NA,NA,NA,"No","HC - Hardpoint",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Crossroads Strike",NA,2021-12-12,"Partial","250-134",13,6,960,334,11270,"MG 82","10% Boost","No","HC - Hardpoint",NA,NA,NA,1,NA,NA,NA,9,0
"Yamantau","Collateral Strike","Collateral Strike","2 to 1",2021-12-12,"Full","100-86",13,16,2205,364,25263,"MG 82","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Zoo","Zoo","3 to 0",2021-12-12,"Full","74-89",11,21,1585,319,6761,"MG 82","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Apocalypse",NA,2021-12-12,"Full","200-161",19,33,3215,558,14723,"RPD","10% Boost","No","HC - Domination",NA,NA,12,5,7,NA,NA,NA,NA
"Armada Strike","Crossroads Strike","Crossroads Strike","4 to 1",2021-12-12,"Full","181-200",26,34,4160,620,18693,"RPD","Double XP + 10%","No","HC - Domination",NA,NA,25,17,5,NA,NA,NA,NA
"Yamantau","Rush","Rush","3 to 1",2021-12-12,"Full","170-200",24,25,3095,672,24429,"RPD","Double XP + 10%","No","HC - Domination",NA,NA,11,8,3,NA,NA,NA,NA
"Garrison","Express","Garrison","1 to 0",2021-12-13,"Full","100-72",24,13,4020,686,23191,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoo","Collateral Strike","Zoo","2 to 2",2021-12-13,"Full","100-94",17,12,2915,454,18093,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","The Pines","Apocalypse","2 to 2",2021-12-13,"Full","100-98",26,15,6305,736,24934,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yamantau","Standoff","Standoff","2 to 0",2021-12-13,"Full","100-82",10,16,1425,286,16699,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echelon","Apocalypse","Apocalypse","3 to 0",2021-12-14,"Full","133-250",16,21,3270,448,10564,"RPD","10% Boost","No","HC - Hardpoint",NA,NA,11,5,1,NA,NA,NA,NA
"Slums","Hijacked","Slums","3 to 0",2021-12-14,"Full","250-131",12,22,2585,290,16958,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,4,30,1,NA,NA,NA,NA
NA,NA,"Riad",NA,2021-12-17,"Partial","100-63",11,14,1695,309,10670,"RPD","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Crossroads Strike","Crossroads Strike","2 to 1",2021-12-17,"Full","100-65",22,8,4780,601,10989,"RPD","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoo","Deprogram","Zoo","2 to 0",2021-12-17,"Full","100-96",15,13,2350,432,17533,"RPD","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echelon","Satellite","Satellite","2 to 0",2021-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Collateral Strike",NA,2021-12-21,"Partial","81-100",27,13,6280,755,26563,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drive-In","Yamantau","Drive-In","4 to 1",2021-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Raid","Raid","3 to 1",2021-12-22,"Full","76-100",16,21,2025,427,9405,"RPD","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Drive-In","The Pines","3 to 0",2021-12-22,"Full","86-91",22,13,4535,654,17919,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Standoff","Miami Strike","3 to 1",2021-12-22,"Full","100-75",26,13,5550,728,16687,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Apocalypse",NA,2021-12-22,"Partial","92-100",3,10,550,84,8519,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slums","Zoo","Slums","3 to 1",2021-12-22,"Full","77-100",15,18,2440,410,5977,"RPD","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rush","Diesel","Diesel","2 to 0",2021-12-22,"Full","100-67",28,13,4540,807,9630,"RPD","10% Boost","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Zoo","Cartel","3 to 0",2021-12-23,"Full","100-84",20,14,3895,559,18610,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echelon","Collateral Strike","Echelon","2 to 2",2021-12-23,"Full","49-100",5,24,500,158,11104,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Yamantau","Yamantau","3 to 1",2021-12-23,"Full","100-99",18,15,3585,506,19338,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Hijacked",NA,2021-12-23,"Partial","250-138",8,13,1765,207,15124,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,5,NA,NA,NA,10,2
"The Pines","Diesel","Diesel","4 o 0",2021-12-23,"Full","250-121",17,11,2520,480,15568,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,13,NA,NA,NA,23,2
NA,NA,"The Pines",NA,2021-12-23,"Partial","239-250",21,25,2875,589,20230,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,9,NA,NA,NA,20,1
"Checkmate","Garrison","Garrison","2 to 1",2021-12-23,"Full","250-101",8,13,1505,189,10792,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,3,NA,NA,NA,3,2
NA,NA,"Hijacked",NA,2021-12-23,"Full","52-250",15,24,2040,383,14424,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,7,NA,NA,NA,22,0
NA,NA,"Echelon",NA,2021-12-24,"Partial","74-250",3,12,335,90,7861,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,0,NA,NA,NA,29,0
"Armada Strike","Miami Strike","Armada Strike","1 to 1",2021-12-24,"Full","236-250",9,26,2185,230,12485,"RPD","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,7,NA,NA,NA,28,2
"Express","Standoff","Express","1 to 0",2021-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","HC - Hardpoint",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Standoff",NA,2021-12-24,"Partial","77-100",6,6,850,168,7566,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diesel","Apocalypse","Apocalypse","3 to 2",2021-12-24,"Full","89-100",23,12,5035,619,26954,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moscow","Yamantau","Yamantau","4 to 0",2021-12-24,"Full","74-100",13,18,2695,337,16423,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Slums","Crossroads Strike","2 to 1",2021-12-24,"Full","97-100",24,16,5630,632,13437,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Yamantau","Yamantau","1 to 0",2021-12-24,"Full","95-100",20,16,4045,560,18855,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Cartel","Cartel","3 to 1",2021-12-24,"Full","56-62",10,11,2225,279,12730,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Drive-In","Express","3 to 1",2021-12-24,"Full","94-100",13,10,2185,364,10472,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Zoo","Apocalypse","6 to 0",2021-12-24,"Full","100-96",13,16,2735,342,14155,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rush","Diesel","Diesel","5 to 1",2021-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drive-In","Express","Drive-In","5 to 1",2021-12-25,"Full","91-91",18,14,3980,491,21894,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The Pines","Moscow","The Pines","2 to 2",2021-12-25,"Full","97-87",12,12,2450,336,15041,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Checkmate","Rush","Checkmate","2 to 1",2021-12-25,"Full","100-90",16,14,3275,446,23301,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slums","Hijacked","Slums","2 to 2",2021-12-25,"Full","100-87",16,17,3870,446,20257,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","Garrison","Cartel","3 to 1",2021-12-25,"Full","62-86",7,18,1345,196,11272,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Apocalypse","Checkmate","Checkmate","2 to 0",2021-12-25,"Full","83-71",9,16,1165,261,14219,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Express","Deprogram","Express","3 to 2",2021-12-25,"Full","92-100",19,15,3710,501,15101,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami Strike","Apocalypse","Miami Strike","1 to 0",2021-12-25,"Full","100-58",13,2,4055,344,10031,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amerika","The Pines","The Pines","1 to 0",2021-12-25,"Full","84-89",23,15,4295,644,17503,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Deprogram",NA,2021-12-25,"Full","100-91",8,15,1135,231,13538,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raid","Standoff","Raid","2 to 1",2021-12-25,"Full","100-62",20,14,4505,574,19975,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zoo","Crossroads Strike","Crossroads Strike","4 to 1",2021-12-25,"Full","100-84",13,13,2350,368,13491,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deprogram","Checkmate","Deprogram","3 to 3",2021-12-26,"Partial","53-100",4,15,600,112,7501,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Echelon","The Pines","The Pines","2 to 0",2021-12-26,"Full","94-84",17,19,2150,476,35119,"RPD","Double XP + 10%","No","HC - TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"Amerika",NA,2021-12-26,"Partial","250-98",18,17,2285,504,20410,"M60","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,1,NA,NA,NA,29,1
"Yamantau","Zoo","Yamantau","2 to 1",2021-12-26,"Full","250-141",20,24,2430,549,19567,"M60","Double XP + 10%","Yes","HC - Hardpoint",NA,NA,NA,5,NA,NA,NA,47,1
"Miami Strike","Nuketown '84","Nuketown '84","2 to 1",2021-12-26,"Full","250-234",32,44,4525,776,31569,"M60","Double XP + 10%","No","HC - Hardpoint",NA,NA,NA,19,NA,NA,NA,48,1
